title,code,industry,link,Assessing Authority,Federal Lists,Skilled Visas,Employer Sponsored Visas,State Nomination
Metal Fitters And Machinists (NEC),323299,323299,https://www.anzscolookup.com.au/occupations/323299,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Metal Machinist (First Class),323214,323214,https://www.anzscolookup.com.au/occupations/323214,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
metal polisher,322115,322115,https://www.anzscolookup.com.au/occupations/322115,TRA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Metallurgical Or Materials Technician,312912,312912,https://www.anzscolookup.com.au/occupations/312912,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Metallurgist,234912,234912,https://www.anzscolookup.com.au/occupations/234912,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Meteorologist,234913,234913,https://www.anzscolookup.com.au/occupations/234913,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Microbiologist,234517,234517,https://www.anzscolookup.com.au/occupations/234517,VETASSESS,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 5 states, 491: 5 states"
Middle School Teacher / Intermediate School Teacher,241311,241311,https://www.anzscolookup.com.au/occupations/241311,AITSL,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Midwife,254111,254111,https://www.anzscolookup.com.au/occupations/254111,ANMAC,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 7 states"
migration agent (Aus) / immigration consultant (NZ),224913,224913,https://www.anzscolookup.com.au/occupations/224913,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Mine Deputy,312913,312913,https://www.anzscolookup.com.au/occupations/312913,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 7 states"
Mining Engineer (Excluding Petroleum),233611,233611,https://www.anzscolookup.com.au/occupations/233611,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
